"Csf-1"	"Csf-2"	"Csf-3"	"Csf-4"	"Csf-5"
-6.13681	-2.6013	-2.21804	-1.30037	-1.36342
-6.73631	-3.0682	-3.16489	-1.00528	-2.64124
-7.96501	-4.7315	-3.76891	-1.86607	-3.76891
-9.31115	-5.2313	-0.86849	0.01972	-1.6783
-5.8552	-3.1781	-1.63221	0.52131	-1.63221
-18.45117	-6.4359	-2.32211	-0.5891	-2.32211
-7.30998	-2.8438	-0.156	1.32049	-0.156
-9.27386	-4.7409	-3.41307	-1.49837	-3.3615
-6.91766	-4.4196	-2.65116	-1.01252	-1.91776
-9.82038	-4.0695	-2.62263	-1.49583	-2.62263
-6.43951	-4.8794	-1.48218	0.92157	-1.48218
-6.16248	-4.5983	-0.38136	-1.54971	-0.97089
-8.15202	-1.6836	-2.13364	3.10723	-2.13364
-1.45937	-2.1284	-0.21626	-0.35667	-0.21626
-0.15807	-2.3176	-0.9829	-0.18897	-0.9829
-3.97682	-0.652	-0.47685	0.17671	-0.47685
-7.57066	-3.9117	-0.69181	0.18507	-0.69181
-10.23312	-3.7683	-2.45324	-0.19276	-2.45324
-7.72358	-2.9442	-0.82108	-0.48948	-0.82108
-7.49178	-3.3681	0.43035	0.86178	0.63023
-9.56818	-4.257	-3.23306	0.77166	-3.23306
-8.05426	-3.2151	-1.89942	-2.24585	-0.2032
-6.02361	-4.6292	-1.02272	-0.72934	-1.02272
-0.27784	-4.8294	-3.28757	0.24356	-3.28757
-7.57783	-4.8407	-1.32787	-1.47215	-1.32787
-33.4212	-6.3506	-1.87513	0.70956	-1.87513
-3.51692	-4.2429	-2.33341	-1.343	-2.33341
-4.02003	-4.3156	-1.36201	-0.01839	-1.36201
-7.01071	-3.8377	-1.90852	-0.08801	-1.90852
-11.70393	-7.5935	-0.5784	0.65798	-0.5784
-9.05114	-3.1093	-1.48504	2.20011	-1.86002
-9.17415	-6.5986	-1.58289	0.28657	-2.21078
-10.76425	-3.8799	-3.66906	-0.16294	-1.07199
-6.76182	-4.5122	-1.45053	-0.91612	-1.45053
-6.49929	-4.7079	-1.04244	0.1578	-1.04244
-23.0711	-3.5999	-2.59016	-1.46201	-2.59016
-16.60839	-2.8964	-2.06471	1.9515	-2.06471
-19.85916	-3.3317	-2.20275	-1.30918	-2.20275
-21.72948	-1.964	-3.24937	-1.18222	-3.24937
-11.52138	-3.8723	-0.07295	-0.81226	-0.07295
-15.60965	-4.0677	-1.45234	-0.73725	-1.45234
-10.49523	-5.6824	-0.95231	-1.02853	-0.95231
-11.04993	-5.0308	-2.40743	1.20282	-2.40743
-29.04286	-5.3105	0.61326	0.88628	0.05879
-19.8201	-5.1578	-1.23666	-2.01514	-1.23666
2.82869	-0.2871	-0.56512	0.4741	-0.56512
-5.48272	-0.9646	-1.55999	-2.42177	-1.55999
-7.51587	-6.0701	-0.77061	-0.99555	-1.92544
-6.55058	-4.3724	-1.63941	-1.53395	-1.63941
-9.07608	-5.3485	-3.05107	-2.35117	-3.05107
-12.20774	-1.0585	-1.53342	0.30476	-1.87557
-7.90622	-7.5491	-3.85278	-2.248	-3.85278
-4.49667	-3.5195	-1.57536	-1.68093	-1.57536
-4.62075	-2.1268	-0.90596	0.75638	-0.90596
-3.70062	-3.0761	-3.70429	-1.86886	-3.70429
-16.4538	-5.9145	-2.1793	0.30107	-2.1793
-4.37232	-2.0374	-1.67599	-1.81194	-1.67599
-11.52931	-4.3253	-2.46044	-0.74453	-2.46044
-2.90718	-2.9209	-2.29803	-0.55533	-2.29803
-3.73647	-2.0351	0.74981	-1.27137	0.74981
-15.37481	-5.7145	-2.66328	-1.2448	-2.66328
-3.47938	-2.1301	-0.04155	-1.62899	0.08422
-6.11091	-2.1144	-0.63017	0.63386	-0.63017
-7.51406	-2.8627	0.01995	-1.16643	0.01995
-12.00954	-6.7365	-0.86582	-1.155	-0.86582
-6.48408	-2.0659	1.07725	0.12909	-0.32215
-3.06342	-1.8002	-2.73382	-1.5971	-0.06093
-4.74368	-5.1749	-3.52534	-1.6011	-3.52534
-3.98526	-2.0135	-2.07002	-2.32114	-2.63744
-6.2526	-2.5408	-1.90384	2.31001	-1.90384
-6.57869	-3.3614	-2.32186	-2.04297	-2.32186
-21.21483	-8.6316	-1.3202	1.37348	-1.60964
-17.74679	-9.765	-2.08073	-0.82849	-2.08073
-24.61293	-10.4267	-2.27311	-0.17229	-2.9892
-42.49099	-11.2763	-1.84121	-0.28542	-1.84121
-17.66997	-8.084	-2.93765	-1.15045	-2.93765
-15.66401	-6.9994	-2.45767	0.36827	-0.92011
-17.6524	-8.2702	-3.40291	-1.91442	-3.40291
-30.62653	-7.9868	-3.12439	0.61675	-3.12439
